Id,Label,Class,Size,dis_class
ELF3,ELF3,GENE,1,INFLAMMATORY
ELK1,ELK1,GENE,1,INFLAMMATORY
ELN,ELN,GENE,1,INFLAMMATORY
ELOVL6,ELOVL6,GENE,1,INFLAMMATORY
EMB,EMB,GENE,1,INFLAMMATORY
EMD,EMD,GENE,1,INFLAMMATORY
ENG,ENG,GENE,1,INFLAMMATORY
ENO1,ENO1,GENE,1,INFLAMMATORY
ENPEP,ENPEP,GENE,1,INFLAMMATORY
ENPP2,ENPP2,GENE,1,INFLAMMATORY
ENTPD1,ENTPD1,GENE,1,INFLAMMATORY
EP300,EP300,GENE,1,INFLAMMATORY
EPAS1,EPAS1,GENE,1,INFLAMMATORY
EPHA2,EPHA2,GENE,1,INFLAMMATORY
EPHB2,EPHB2,GENE,1,INFLAMMATORY
EPO,EPO,GENE,1,INFLAMMATORY
EPOR,EPOR,GENE,1,INFLAMMATORY
EPX,EPX,GENE,1,INFLAMMATORY
ERAP1,ERAP1,GENE,1,INFLAMMATORY
ERAP2,ERAP2,GENE,1,INFLAMMATORY
ERBB2,ERBB2,GENE,1,INFLAMMATORY
ERI1,ERI1,GENE,1,INFLAMMATORY
ERVW-4,ERVW-4,GENE,1,INFLAMMATORY
ESAT,ESAT,GENE,1,INFLAMMATORY
ESR1,ESR1,GENE,1,INFLAMMATORY
ESR2,ESR2,GENE,1,INFLAMMATORY
ESRRA,ESRRA,GENE,1,INFLAMMATORY
ETS1,ETS1,GENE,1,INFLAMMATORY
ETV3,ETV3,GENE,1,INFLAMMATORY
EVA1C,EVA1C,GENE,1,INFLAMMATORY
EXOSC1,EXOSC1,GENE,1,INFLAMMATORY
EXOSC10,EXOSC10,GENE,1,INFLAMMATORY
EZH2,EZH2,GENE,1,INFLAMMATORY
F10,F10,GENE,1,INFLAMMATORY
F12,F12,GENE,1,INFLAMMATORY
F2,F2,GENE,1,INFLAMMATORY
F2R,F2R,GENE,1,INFLAMMATORY
F2RL1,F2RL1,GENE,1,INFLAMMATORY
F2RL3,F2RL3,GENE,1,INFLAMMATORY
F3,F3,GENE,1,INFLAMMATORY
F5,F5,GENE,1,INFLAMMATORY
F8,F8,GENE,1,INFLAMMATORY
FABP5,FABP5,GENE,1,INFLAMMATORY
FAP,FAP,GENE,1,INFLAMMATORY
FAS,FAS,GENE,1,INFLAMMATORY
FASLG,FASLG,GENE,1,INFLAMMATORY
FBL,FBL,GENE,1,INFLAMMATORY
FBN1,FBN1,GENE,1,INFLAMMATORY
FCAR,FCAR,GENE,1,INFLAMMATORY
FCER2,FCER2,GENE,1,INFLAMMATORY
FCGR1A,FCGR1A,GENE,1,INFLAMMATORY
FCGR2A,FCGR2A,GENE,1,INFLAMMATORY
FCGR2B,FCGR2B,GENE,1,INFLAMMATORY
FCGR3A,FCGR3A,GENE,1,INFLAMMATORY
FCGR3B,FCGR3B,GENE,1,INFLAMMATORY
FCGRT,FCGRT,GENE,1,INFLAMMATORY
FCN2,FCN2,GENE,1,INFLAMMATORY
FCN3,FCN3,GENE,1,INFLAMMATORY
FCRL3,FCRL3,GENE,1,INFLAMMATORY
FDPS,FDPS,GENE,1,INFLAMMATORY
FFAR2,FFAR2,GENE,1,INFLAMMATORY
FFAR4,FFAR4,GENE,1,INFLAMMATORY
FGF10,FGF10,GENE,1,INFLAMMATORY
FGF2,FGF2,GENE,1,INFLAMMATORY
FGF21,FGF21,GENE,1,INFLAMMATORY
